d1,d2,d3,diem,Toán_TB,Văn_TB,KH_TB
29,31,24,84,9.1,7.68,8.91
28,40,23,91,8.72,7.32,8.3
31,34,31,96,9,7.8,8.92
22,24,13,59,8.38,7.48,8.05
27,33,20,80,8.65,7.8,8.66
17,25,22,64,8.55,7.43,8.38
14,21,23,58,8.15,6.32,7.58
30,29,22,81,8.48,7.1,8
24,30,12,66,9.12,7.78,7.53
21,29,20,70,7.78,7.62,7.94
16,24,19,59,8.38,7.05,7.92
26,31,23,80,8.48,5.75,7.52
31,35,39,105,9.38,6,7.86
19,30,20,69,7.98,6.2,7.74
27,30,26,83,8.52,7.3,8.75
14,32,15,61,8.2,8.05,7.35
34,32,27,93,9.1,7.42,8.73
37,34,31,102,9.5,7.25,8.74
18,35,19,72,9.02,8.35,8.3
32,32,17,81,9.3,6.65,7.42
9,26,13,48,7.25,7.5,7.1
30,32,26,88,8.82,7.58,8.32
25,31,16,72,8.12,6.72,8.15
14,36,23,73,7.75,6.45,7.64
24,32,25,81,8.18,6.25,8.05
21,29,23,73,7.78,7.2,7.82
21,22,18,61,7.5,6.93,7.14
19,29,21,69,8.55,5.25,7.16
23,27,18,68,8.28,6.68,7.28
32,33,21,86,9.38,7.62,8.72
23,26,24,73,8.4,6.75,7.82
36,30,22,88,9.02,7.52,8.27
27,36,25,88,9.2,7.32,8.2
24,26,23,73,8.9,7.98,8.44
30,35,38,103,9.28,8.8,9.27
38,35,35,108,9.2,7.65,8.26
16,29,18,63,7.18,6.62,6.99
24,30,13,67,7.8,7.78,7.28
39,30,26,95,8.75,6.05,7.6
22,26,20,68,8.55,6.78,7.62
28,30,22,80,9.45,8.02,8.49
30,32,28,90,9.4,7.5,8.48
19,28,18,65,9.02,6.42,7.44
14,31,28,73,8.88,6.6,8.38
14,28,23,65,7.18,6.38,6.84
25,36,24,85,8.62,8.48,8.27
33,30,30,93,8.88,7.15,8.57
19,29,23,71,8.52,7.72,8.16
27,32,32,91,9.2,7.42,9.24
29,37,23,89,8.8,7.05,8.4
35,27,15,77,8.02,6.88,7.58
18,23,25,66,8.05,7.22,8.25
32,22,20,74,8.98,7.88,8.33
32,31,19,82,9.25,6.78,8.2
21,25,17,63,7.65,7.5,8.06
21,30,16,67,9,7.2,8.54
36,35,38,109,9.35,8.32,9.36
28,31,34,93,9.23,7.38,8.74
20,31,13,64,6.98,7.58,7.8
36,34,25,95,9.22,7.52,8.44
24,24,22,70,8,7.9,7.74
21,34,19,74,8.75,7.9,8.91
37,35,31,103,9.1,6.68,8.37
34,28,17,79,8.98,8.05,8.88
14,32,23,69,7.85,5.58,7.96
13,34,24,71,8.5,7.5,8.32
32,33,19,84,8.88,8.15,9.11
29,30,23,82,8.55,7.05,7.87
31,33,26,90,9.3,7.35,8.09
19,30,18,67,8.55,8.3,8.59
19,36,24,79,8.68,7.2,8.62
32,32,19,83,9.48,8.1,8.98
15,31,19,65,7.35,6.3,7.06
24,33,25,82,8.72,7.08,7.82
41,41,28,110,9.68,8.43,8.96
18,28,22,68,8.62,6.52,7.99
37,34,29,100,9.22,7.65,8.74
28,33,35,96,9.02,7.4,8.45
22,26,19,67,8.73,7.3,8.32
19,33,23,75,8.22,7.62,8.43
26,30,17,73,8.52,7.5,8.52
27,32,25,84,9.2,7.45,8.31
13,31,17,61,7.72,6.78,7.54
25,32,18,75,8.55,7.9,8.44
24,37,18,79,9.18,7.5,8.38
25,34,18,77,8.57,7.8,8.54
21,27,15,63,8.35,7.08,8.11
17,33,25,75,7.32,7.8,7.25
36,31,30,97,9.75,7.88,8.56
29,40,31,100,9.4,7.55,8.94
41,36,31,108,9.65,8.32,8.71
32,32,16,80,8.48,6.92,7.59
30,28,29,87,9.12,7.45,7.99
31,29,21,81,9.1,7,8.1
22,30,19,71,9.28,7.85,9.02
23,34,24,81,8.82,7.7,8.78
28,24,21,73,8.2,6.9,7.96
13,27,8,48,7.2,6.9,7.12
18,40,24,82,8.4,7.6,8.6
30,32,23,85,8.98,7.52,8.12
30,36,25,91,9.55,8.45,8.75
16,27,19,62,8.35,7.4,8.48
32,35,29,96,9,7.42,8.9
17,30,15,62,7.72,6.32,6.95
36,36,25,97,9.32,7.65,8.96
22,24,18,64,9.2,7.6,8.57
39,29,20,88,9.38,7.62,8.58
12,31,18,61,6.58,5.78,6.96
13,29,22,64,7.05,7.52,8.26
20,26,16,62,7.93,6.8,7.83
35,36,29,100,9.4,7.32,8.62
24,36,29,89,8.77,6.92,8.61
22,34,31,87,8.4,6.85,7.52
14,40,17,71,8.8,7.32,8.71
19,34,20,73,8.15,6.68,7.86
24,25,20,69,8.43,7.52,7.86
20,23,11,54,8.75,6.9,8.98
24,24,19,67,7.6,7.15,7.95
20,29,20,69,8.52,7.25,8.49
17,35,19,71,8.68,7.1,8.57
40,36,27,103,9.65,8.28,8.79
27,30,21,78,9.12,7.72,8.02
31,29,20,80,8.8,6.62,8.08
36,34,30,100,8.73,6.6,8.09
16,29,17,62,8.7,7.82,8.3
26,33,20,79,8.6,7.12,8.33
